,category,news_url,News
0,political,https://en.setopati.com/political/160972,"
Arrest warrant has been issued in the name of CPN-UML Secretary and former deputy prime minister Top Bahadur Rayamajhi in the fake Bhutanese refugees scam.
The Kathmandu District Court has issued arrest warrant in name of Rayamajhi and his son Sandeep Rayamajhi for investigation of the scam that swindled tens of millions from Nepali citizens promising to send them to America as Bhutanese refugees, according to a Nepal Police source.
Rayamajhi is currently House of Representatives (HoR) member from Arghakhanchi.
Talking to Setopati, he has said that he is currently in Arghakhanchi and does not know about the arrest warrant.
Former home secretary Tek Narayan Pandey has also been arrested in the scam. Pandey has been arrested after he reached the Kathmandu Police on Wednesday after being summoned.  
Pandey was home secretary from August 11, 2021 to September 18, 2022. He is currently secretary at the Office of the Vice-president.
Advisor to the then home minister Ram Bahadur Thapa, Indrajit Rai, was arrested on Tuesday over involvement in the racket that swindled tens of millions from Nepali citizens promising to send them to America as Bhutanese refugees. Arrest warrant has also been issued against Rai’s son Niraj Rai in the case but the son has yet to be arrested.
Rai, who was advisor to the then home minister Thapa in 2017, was arrested from Sunakothi, Lalitpur Tuesday morning.
Investigations have showed that Rai had connived with one Keshav Dulal and others to collect tens of millions from many persons promising to send them to America as Bhutanese refugees when Thapa was home minister.
“We will include facts about his involvement in the file. It is not time to reveal that,” Chief of Kathmandu Police Range SSP Dan Bahadur Karki told Setopati. “We have arrested him and moved investigations forward as he had to be arrested now.”
Rai had facilitated with the Home Ministry to create fake Bhutanese refugees, according to a police officer involved in investigation, and has been arrested after the police collected evidence establishing his involvement.
Keshav Dulal, Sanu Bhattarai, Tanka Kumar Gurung, Sandesh Sharma and Sagar Rai have already been arrested in the case.
Dulal would deploy Sagar Rai and others to collect details and money from the victims, and also coordinate with Thapa’s advisor Rai at the Home Ministry, the investigations have showed. Indrajit Rai has been arrested after the others arrested in the case took his name in their statement.
“We have been told that Rai also took money. We will also look at his bank accounts,” the officer added.
Rai allegedly took more than Rs 50 million in the scam. “He seems to have done all the necessary things inside the Home Ministry. He seems to have played a major role in arranging things inside the ministry.”
Another police source stated that Rai played a role when he was advisor to Thapa while others also played a role after that.
The Home Ministry had formed a task force under the then Joint Secretary Bal Krishna Panthi in 2018 to identify previously unrecorded Bhutanese refugees. The task force had submitted its report to the Home Ministry but it was not made public leading to suspicion that fake refugees were included in that report itself.
Kathmandu Police acquired that report from the Home Ministry on April for investigations. A source claimed that over 800 fake refugees were included in that report. Genuine refugees were included only in four schedules of the report while the remaining names were added later, according to the source. 
The police are also planning to arrest others who facilitated the scam after Indrajit Rai.
The Kathmandu Valley Crime Division had first received complaint accusing Keshav Dulal and others of fraud by creating fake Bhutanese refugees. It arrested Dulal and sent the file to the Kathmandu Police for further investigations.
The police is investigating them under Fraud and Organized Crime.
"
1,political,https://en.setopati.com/political/160972,"
Arrest warrant has been issued in the name of CPN-UML Secretary and former deputy prime minister Top Bahadur Rayamajhi in the fake Bhutanese refugees scam.
The Kathmandu District Court has issued arrest warrant in name of Rayamajhi and his son Sandeep Rayamajhi for investigation of the scam that swindled tens of millions from Nepali citizens promising to send them to America as Bhutanese refugees, according to a Nepal Police source.
Rayamajhi is currently House of Representatives (HoR) member from Arghakhanchi.
Talking to Setopati, he has said that he is currently in Arghakhanchi and does not know about the arrest warrant.
Former home secretary Tek Narayan Pandey has also been arrested in the scam. Pandey has been arrested after he reached the Kathmandu Police on Wednesday after being summoned.  
Pandey was home secretary from August 11, 2021 to September 18, 2022. He is currently secretary at the Office of the Vice-president.
Advisor to the then home minister Ram Bahadur Thapa, Indrajit Rai, was arrested on Tuesday over involvement in the racket that swindled tens of millions from Nepali citizens promising to send them to America as Bhutanese refugees. Arrest warrant has also been issued against Rai’s son Niraj Rai in the case but the son has yet to be arrested.
Rai, who was advisor to the then home minister Thapa in 2017, was arrested from Sunakothi, Lalitpur Tuesday morning.
Investigations have showed that Rai had connived with one Keshav Dulal and others to collect tens of millions from many persons promising to send them to America as Bhutanese refugees when Thapa was home minister.
“We will include facts about his involvement in the file. It is not time to reveal that,” Chief of Kathmandu Police Range SSP Dan Bahadur Karki told Setopati. “We have arrested him and moved investigations forward as he had to be arrested now.”
Rai had facilitated with the Home Ministry to create fake Bhutanese refugees, according to a police officer involved in investigation, and has been arrested after the police collected evidence establishing his involvement.
Keshav Dulal, Sanu Bhattarai, Tanka Kumar Gurung, Sandesh Sharma and Sagar Rai have already been arrested in the case.
Dulal would deploy Sagar Rai and others to collect details and money from the victims, and also coordinate with Thapa’s advisor Rai at the Home Ministry, the investigations have showed. Indrajit Rai has been arrested after the others arrested in the case took his name in their statement.
“We have been told that Rai also took money. We will also look at his bank accounts,” the officer added.
Rai allegedly took more than Rs 50 million in the scam. “He seems to have done all the necessary things inside the Home Ministry. He seems to have played a major role in arranging things inside the ministry.”
Another police source stated that Rai played a role when he was advisor to Thapa while others also played a role after that.
The Home Ministry had formed a task force under the then Joint Secretary Bal Krishna Panthi in 2018 to identify previously unrecorded Bhutanese refugees. The task force had submitted its report to the Home Ministry but it was not made public leading to suspicion that fake refugees were included in that report itself.
Kathmandu Police acquired that report from the Home Ministry on April for investigations. A source claimed that over 800 fake refugees were included in that report. Genuine refugees were included only in four schedules of the report while the remaining names were added later, according to the source. 
The police are also planning to arrest others who facilitated the scam after Indrajit Rai.
The Kathmandu Valley Crime Division had first received complaint accusing Keshav Dulal and others of fraud by creating fake Bhutanese refugees. It arrested Dulal and sent the file to the Kathmandu Police for further investigations.
The police is investigating them under Fraud and Organized Crime.
"
2,political,https://en.setopati.com/political/160978,"
President Ram Chandra Paudel has called the budget session of the federal parliament on Sunday on recommendation of the government.
The Cabinet meeting on Tuesday decided to recommend to the president to call the next session of the parliament.
The joint meeting of the House of Representatives (HoR) and the National Assembly will be convened at four Sunday afternoon.
The last session of the federal parliament had ended on Friday.
"
3,political,https://en.setopati.com/political/160977,"
Prime Minister (PM) Pushpa Kamal Dahal has expanded his Cabinet on Wednesday inducting three new ministers on recommendation of Nepali Congress (NC) President Sher Bahadur Deuba.
Dhan Raj Gurung has been inducted as law minister, Mohan Bahadur Basnet health minister and Dig Bahadur Limbu youth and sports minister.
NC vice-president elected from the panel of Shekhar Koirala, Gurung was elected to the House of Representatives (HoR) from Syangja-2.
Basnet, elected to the HoR from Sindhupalchowk-2, is close to Deuba while Limbu, elected from Morang-1, is from the Koirala faction.
The three ministers will be sworn in Thursday afternoon.
The Cabinet has yet to be completed even after the latest expansion with PM Dahal still overseeing forest and water supplies ministries that were allocated to Janata Samajwadi Party and Janamat Party respectively.
"
4,political,https://en.setopati.com/political/160976,"
The Kathmandu District Court has remanded Secretary at the Office of the Vice-president Tek Narayan Pandey to custody for three days in the fake Bhutanese refugees scam.
SP with the Kathmandu Police Range Sitaram Rijal told Setopati that the court remanded former home secretary Pandey to three days of custody for investigation of the scam. Pandey was arrested after he reached the Kathmandu Police on Wednesday after being summoned.  He was home secretary from August 11, 2021 to September 18, 2022.
Pandey has been suspended from his post following his arrest.
Kamal Prasad Bhattarai, spokesperson for the Ministry of Federal Affairs and General Administration, said that the process to suspend Pandey has already begun.
As per the Civil Service Act, a civil employee arrested and kept in custody for investigation automatically remains suspended for the duration of the investigation, Bhattarai said.
Similarly, the court has remanded advisor to the then home minister Ram Bahadur Thapa, Indrajit Rai, to four days of custody in the case.
Arrest warrant has already been issued in the name of son of CPN-UML Vice-chairman and former home minister Ram Bahadur Thapa, Prateek Thapa,  and UML Secretary and former deputy prime minister Top Bahadur Rayamajhi Rayamajhi and his son Sandeep Rayamajhi for investigation in the scam.
Advisor to the then home minister Ram Bahadur Thapa, Indrajit Rai, was arrested on Tuesday over involvement in the racket that swindled tens of millions from Nepali citizens promising to send them to America as Bhutanese refugees. Arrest warrant has also been issued against Rai’s son Niraj Rai in the case but the son has yet to be arrested.
Rai, who was advisor to the then home minister Thapa in 2017, was arrested from Sunakothi, Lalitpur Tuesday morning.
Investigations have showed that Rai had connived with one Keshav Dulal and others to collect tens of millions from many persons promising to send them to America as Bhutanese refugees when Thapa was home minister.
“We will include facts about his involvement in the file. It is not time to reveal that,” Chief of Kathmandu Police Range SSP Dan Bahadur Karki told Setopati. “We have arrested him and moved investigations forward as he had to be arrested now.”
Rai had facilitated with the Home Ministry to create fake Bhutanese refugees, according to a police officer involved in investigation, and has been arrested after the police collected evidence establishing his involvement.
Keshav Dulal, Sanu Bhattarai, Tanka Kumar Gurung, Sandesh Sharma and Sagar Rai have already been arrested in the case.
Dulal would deploy Sagar Rai and others to collect details and money from the victims, and also coordinate with Thapa’s advisor Rai at the Home Ministry, the investigations have showed. Indrajit Rai has been arrested after the others arrested in the case took his name in their statement.
“We have been told that Rai also took money. We will also look at his bank accounts,” the officer added.
Rai allegedly took more than Rs 50 million in the scam. “He seems to have done all the necessary things inside the Home Ministry. He seems to have played a major role in arranging things inside the ministry.”
Another police source stated that Rai played a role when he was advisor to Thapa while others also played a role after that.
The Home Ministry had formed a task force under the then Joint Secretary Bal Krishna Panthi in 2018 to identify previously unrecorded Bhutanese refugees. The task force had submitted its report to the Home Ministry but it was not made public leading to suspicion that fake refugees were included in that report itself.
Kathmandu Police acquired that report from the Home Ministry on April for investigations. A source claimed that over 800 fake refugees were included in that report. Genuine refugees were included only in four schedules of the report while the remaining names were added later, according to the source. 
The police are also planning to arrest others who facilitated the scam after Indrajit Rai.
The Kathmandu Valley Crime Division had first received complaint accusing Keshav Dulal and others of fraud by creating fake Bhutanese refugees. It arrested Dulal and sent the file to the Kathmandu Police for further investigations.
The police is investigating them under Fraud and Organized Crime.
"
5,political,https://en.setopati.com/political/160975,"
The government has brought an ordinance to take action against loan sharks.
President Ram Chandra Paudel issued the ordinance sent by the Cabinet on Wednesday.
The President’s Office informed that President Paudel issued the Ordinance to Amend Some Nepal Acts Related to the Civil Code 2080.
The Cabinet meeting on Tuesday had decided to send the ordinance to the president to solve problems of loan shark victims.
The government had also formed a commission to address the issue.
"
6,political,https://en.setopati.com/political/160974,"
Arrest warrant has been issued in the name of son of CPN-UML Vice-chairman and former home minister Ram Bahadur Thapa in the fake Bhutanese refugees scam.
The Kathmandu District Court has issued arrest warrant in name of Prateek Thapa for investigation of the scam that swindled tens of millions from Nepali citizens promising to send them to America as Bhutanese refugees. in the fake Bhutanese refugees scam.
The Kathmandu District Court has also issued arrest warrant in name of UML Secretary and former deputy prime minister Top Bahadur Rayamajhi Rayamajhi and his son Sandeep Rayamajhi for investigation in the scam.
Former home secretary Tek Narayan Pandey has also been arrested in the scam. Pandey has been arrested after he reached the Kathmandu Police on Wednesday after being summoned.  
Pandey was home secretary from August 11, 2021 to September 18, 2022. He is currently secretary at the Office of the Vice-president.
Advisor to the then home minister Ram Bahadur Thapa, Indrajit Rai, was arrested on Tuesday over involvement in the racket that swindled tens of millions from Nepali citizens promising to send them to America as Bhutanese refugees. Arrest warrant has also been issued against Rai’s son Niraj Rai in the case but the son has yet to be arrested.
Rai, who was advisor to the then home minister Thapa in 2017, was arrested from Sunakothi, Lalitpur Tuesday morning.
Investigations have showed that Rai had connived with one Keshav Dulal and others to collect tens of millions from many persons promising to send them to America as Bhutanese refugees when Thapa was home minister.
“We will include facts about his involvement in the file. It is not time to reveal that,” Chief of Kathmandu Police Range SSP Dan Bahadur Karki told Setopati. “We have arrested him and moved investigations forward as he had to be arrested now.”
Rai had facilitated with the Home Ministry to create fake Bhutanese refugees, according to a police officer involved in investigation, and has been arrested after the police collected evidence establishing his involvement.
Keshav Dulal, Sanu Bhattarai, Tanka Kumar Gurung, Sandesh Sharma and Sagar Rai have already been arrested in the case.
Dulal would deploy Sagar Rai and others to collect details and money from the victims, and also coordinate with Thapa’s advisor Rai at the Home Ministry, the investigations have showed. Indrajit Rai has been arrested after the others arrested in the case took his name in their statement.
“We have been told that Rai also took money. We will also look at his bank accounts,” the officer added.
Rai allegedly took more than Rs 50 million in the scam. “He seems to have done all the necessary things inside the Home Ministry. He seems to have played a major role in arranging things inside the ministry.”
Another police source stated that Rai played a role when he was advisor to Thapa while others also played a role after that.
The Home Ministry had formed a task force under the then Joint Secretary Bal Krishna Panthi in 2018 to identify previously unrecorded Bhutanese refugees. The task force had submitted its report to the Home Ministry but it was not made public leading to suspicion that fake refugees were included in that report itself.
Kathmandu Police acquired that report from the Home Ministry on April for investigations. A source claimed that over 800 fake refugees were included in that report. Genuine refugees were included only in four schedules of the report while the remaining names were added later, according to the source. 
The police are also planning to arrest others who facilitated the scam after Indrajit Rai.
The Kathmandu Valley Crime Division had first received complaint accusing Keshav Dulal and others of fraud by creating fake Bhutanese refugees. It arrested Dulal and sent the file to the Kathmandu Police for further investigations.
The police is investigating them under Fraud and Organized Crime.
"
7,political,https://en.setopati.com/political/160972,"
Arrest warrant has been issued in the name of CPN-UML Secretary and former deputy prime minister Top Bahadur Rayamajhi in the fake Bhutanese refugees scam.
The Kathmandu District Court has issued arrest warrant in name of Rayamajhi and his son Sandeep Rayamajhi for investigation of the scam that swindled tens of millions from Nepali citizens promising to send them to America as Bhutanese refugees, according to a Nepal Police source.
Rayamajhi is currently House of Representatives (HoR) member from Arghakhanchi.
Talking to Setopati, he has said that he is currently in Arghakhanchi and does not know about the arrest warrant.
Former home secretary Tek Narayan Pandey has also been arrested in the scam. Pandey has been arrested after he reached the Kathmandu Police on Wednesday after being summoned.  
Pandey was home secretary from August 11, 2021 to September 18, 2022. He is currently secretary at the Office of the Vice-president.
Advisor to the then home minister Ram Bahadur Thapa, Indrajit Rai, was arrested on Tuesday over involvement in the racket that swindled tens of millions from Nepali citizens promising to send them to America as Bhutanese refugees. Arrest warrant has also been issued against Rai’s son Niraj Rai in the case but the son has yet to be arrested.
Rai, who was advisor to the then home minister Thapa in 2017, was arrested from Sunakothi, Lalitpur Tuesday morning.
Investigations have showed that Rai had connived with one Keshav Dulal and others to collect tens of millions from many persons promising to send them to America as Bhutanese refugees when Thapa was home minister.
“We will include facts about his involvement in the file. It is not time to reveal that,” Chief of Kathmandu Police Range SSP Dan Bahadur Karki told Setopati. “We have arrested him and moved investigations forward as he had to be arrested now.”
Rai had facilitated with the Home Ministry to create fake Bhutanese refugees, according to a police officer involved in investigation, and has been arrested after the police collected evidence establishing his involvement.
Keshav Dulal, Sanu Bhattarai, Tanka Kumar Gurung, Sandesh Sharma and Sagar Rai have already been arrested in the case.
Dulal would deploy Sagar Rai and others to collect details and money from the victims, and also coordinate with Thapa’s advisor Rai at the Home Ministry, the investigations have showed. Indrajit Rai has been arrested after the others arrested in the case took his name in their statement.
“We have been told that Rai also took money. We will also look at his bank accounts,” the officer added.
Rai allegedly took more than Rs 50 million in the scam. “He seems to have done all the necessary things inside the Home Ministry. He seems to have played a major role in arranging things inside the ministry.”
Another police source stated that Rai played a role when he was advisor to Thapa while others also played a role after that.
The Home Ministry had formed a task force under the then Joint Secretary Bal Krishna Panthi in 2018 to identify previously unrecorded Bhutanese refugees. The task force had submitted its report to the Home Ministry but it was not made public leading to suspicion that fake refugees were included in that report itself.
Kathmandu Police acquired that report from the Home Ministry on April for investigations. A source claimed that over 800 fake refugees were included in that report. Genuine refugees were included only in four schedules of the report while the remaining names were added later, according to the source. 
The police are also planning to arrest others who facilitated the scam after Indrajit Rai.
The Kathmandu Valley Crime Division had first received complaint accusing Keshav Dulal and others of fraud by creating fake Bhutanese refugees. It arrested Dulal and sent the file to the Kathmandu Police for further investigations.
The police is investigating them under Fraud and Organized Crime.
"
8,political,https://en.setopati.com/political/160971,"
Former home secretary Tek Narayan Pandey has been summoned for investigation of the scam that swindled tens of millions from Nepali citizens promising to send them to America as Bhutanese refugees.
Spokesperson with the Kathmandu Police Range SP Sitaram Rijal told Setopati that Pandey produced himself before the Kathmandu Police on Wednesday after being summoned.  
Pandey was home secretary from August 11, 2021 to September 18, 2022. He is currently secretary at the Office of the Vice-president.
Advisor to the then home minister Ram Bahadur Thapa, Indrajit Rai, was arrested on Tuesday over involvement in the racket that swindled tens of millions from Nepali citizens promising to send them to America as Bhutanese refugees. Arrest warrant has also been issued against Rai’s son Niraj Rai in the case but the son has yet to be arrested.
Rai, who was advisor to the then home minister Thapa in 2017, was arrested from Sunakothi, Lalitpur Tuesday morning.
Investigations have showed that Rai had connived with one Keshav Dulal and others to collect tens of millions from many persons promising to send them to America as Bhutanese refugees when Thapa was home minister.
“We will include facts about his involvement in the file. It is not time to reveal that,” Chief of Kathmandu Police Range SSP Dan Bahadur Karki told Setopati. “We have arrested him and moved investigations forward as he had to be arrested now.”
Rai had facilitated with the Home Ministry to create fake Bhutanese refugees, according to a police officer involved in investigation, and has been arrested after the police collected evidence establishing his involvement.
Keshav Dulal, Sanu Bhattarai, Tanka Kumar Gurung, Sandesh Sharma and Sagar Rai have already been arrested in the case.
Dulal would deploy Sagar Rai and others to collect details and money from the victims, and also coordinate with Thapa’s advisor Rai at the Home Ministry, the investigations have showed. Indrajit Rai has been arrested after the others arrested in the case took his name in their statement.
“We have been told that Rai also took money. We will also look at his bank accounts,” the officer added.
Rai allegedly took more than Rs 50 million in the scam. “He seems to have done all the necessary things inside the Home Ministry. He seems to have played a major role in arranging things inside the ministry.”
Another police source stated that Rai played a role when he was advisor to Thapa while others also played a role after that.
The Home Ministry had formed a task force under the then Joint Secretary Bal Krishna Panthi in 2018 to identify previously unrecorded Bhutanese refugees. The task force had submitted its report to the Home Ministry but it was not made public leading to suspicion that fake refugees were included in that report itself.
Kathmandu Police acquired that report from the Home Ministry on April for investigations. A source claimed that over 800 fake refugees were included in that report. Genuine refugees were included only in four schedules of the report while the remaining names were added later, according to the source. 
The police are also planning to arrest others who facilitated the scam after Indrajit Rai.
The Kathmandu Valley Crime Division had first received complaint accusing Keshav Dulal and others of fraud by creating fake Bhutanese refugees. It arrested Dulal and sent the file to the Kathmandu Police for further investigations.
The police is investigating them under Fraud and Organized Crime
"
9,political,https://en.setopati.com/political/160966,"
CPN-UML lawmaker Laxmi Mahato Koiri, who has been absconding after being charged with murder, has been suspended.
According to the Parliament Secretariat, Koiri was suspended on Tuesday.
The Parliament Secretariat has published a notice informing about Koiri's suspension.
Nepal Police had written to the Parliament Secretariat on Monday informing that Koiri has been absconding after being accused of murder.
Earlier, DIG Tek Prasad Rai had written to the Parliament Secretariat on December 22, 2022, on behalf of the Nepal Police Headquarters informing that lawmaker Koiri had been absconding but Speaker Dev Raj Ghimire, who was elected to the post from UML, did not suspend Koiri.
Nepal Police then wrote to the Parliament Secretariat again on Monday informing about Koiri’s fugitive status.
The new HoR regulations passed on April 2 have a provision of suspending any fugitive lawmaker.
The Janakpur High Court had ordered Koiri be sent to custody for investigation in the case accusing him of encircling and thrashing Armed Police Force ASI Thaman BK to death on September 11, 2015. But he has been absconding.
Mahato was elected to the House of Representatives from Mahottari-1 in the November 2022 election.
"
